багато,lot
інформація,information
вчитель,teacher
зміна,change
забезпечити,provide
день,day
шлях,way
жінка,woman
чоловік,man
бути,be
чути,hear
іноземний,foreign
око,eye
повернути,turn
природній,natural
завжди,always
служити,serve
вбивати,kill
молодий,young
любити,love
подобатись,like
місцевий,local
подобатися,like
добре,good
друг,friend
якщо,if
би,would
година,hour
зустрічати,meet
вода,water
почувати,feel
починати,begin
медичний,medical
в,into
персональний,personal
червоний,red
компанія,company
ти,you
з,from
дослідження,research
тиждень,week
наше,our
високий,high
йти,go
доброзичливий,kind
від,of
робота,work
додавати,add
студент,student
різати,cut
він,he
дати,give
родина,family
дивитися,look
показувати,show
або,or
повний,full
я,I
сила,force
є,are
ті,those
інший,other
і,and
обличчя,face
казати,say
бігти,run
коли,when
приватний,private
хвилина,minute
випуск,issue
платити,pay
витратити,spend
здатний,able
про,about
приводити,lead
рано,early
ім’я,name
реальний,real
чекати,wait
спеціальний,special
країна,country
проблема,problem
правдивий,true
включати,include
допомагати,help
отже,so
тому що,because
культурний,cultural
важливіший,major
доступний,available
час,time
правильно,right
тяжко,hard
можливий,possible
до,to
великий,huge
фінальний,final
сучасний,current
подібний,similar
минулий,past
будувати,build
знаходити,find
важливий,important
соціальний,social
діставати,give
рости,grow
готовий,ready
прийти,come
вивчати,learn
вільний,free
знати,know
загальний,general
використовувати,use
різноманітний,various
це,this
дещо,some
фізичний,physical
число,number
система,system
факт,fact
приходити,come
очікувати,expect
тіло,body
причина,reason
для,for
короткий,short
сильний,strong
новий,new
перемагати,win
один,one
читати,read
кінець,end
люди,people
освіта,education
чистий,clear
їх,them
низький,low
місяць,month
учасник,member
впевнено,sure
ці,these
публічно,public
брати,take
падати,fall
політичний,political
міняти,change
її,her
річ,thing
уряд,government
триматися,hold
частина,part
сторона,side
момент,moment
серйозний,serious
група,group
дзвонити,call
одинокий,single
купити,buy
бажати,will
рік,year
лише,just
старий,old
приносити,bring
двері,door
повинен,should
потребувати,need
дівчина,girl
військовий,military
мертвий,dead
моє,my
залишатися,remain
американець,American
білий,white
офіс,office
мені,me
над,over
ранок,morning
гроші,money
будь-який,any
воно,it
що,what
вивчення,study
бідний,poor
екологічний,environmental
говорити,speak
пізно,late
вони,they
котрий,which
стояти,stand
гарячий,hot
залишений,left
результат,result
вона,she
команда,team
мистецтво,art
запитувати,ask
простий,simple
твій,your
здоров’я,health
вийти,out
встановлювати,set
традиційний,traditional
здається,seem
відкривати,open
класти,put
повернутися,back
ліжко,bed
зупиняти,stop
релігійний,religious
машина,car
чорний,black
помирати,die
мусити,must
певний,certain
хотіти,want
розуміти,understand
могти,could
легкий,easy
економний,economic
хто,who
довгий,long
пам’ятати,remember
запитання,question
хлопець,guy
сидіти,sit
мати,have
найкраще,best
правий,right
дитина,kid
закон,law
слово,word
життя,life
вірити,believe
прогама,program
спільнота,community
місце,place
бачити,see
два,two
пропонувати,offer
центральний,central
президент,president
продовжувати,continue
з’являтися,appear
справа,case
гуляти,walk
гра,game
також,also
ми,us
відкритий,open
світ,world
повітря,air
жити,live
кімната,room
значний,significant
рука,hand
демократичний,democratic
писати,write
зелений,green
артикль,a
більш,most
закритий,close
ніж,than
війна,war
думати,think
зараз,now
на,on
головний,main
досягати,reach
не,not
але,but
нещодавно,recent
хороший,nice
дозволяти,allow
чудово,great
маленький,little
сервіс,service
пробувати,try
батьки,parent
залишати,leave
його,his
батько,father
школа,school
траплятися,happen
важкий,difficult
почати,start
законний,legal
отримувати,get
навіть,even
держава,state
різні,different
краще,better
назад,back
міжнародний,international
людина,human
ні,no
площа,area
зберігати,keep
щасливий,happy
темний,dark
ніч,night
наслідувати,follow
розглянути,consider
після,after
цілком,entire
бізнес,business
вечірка,party
робити,do
швидше за все,likely
національний,national
синій,blue
дім,house
працювати,work
як,as
хибний,wrong
особистість,person
популярний,popular
ідея,idea
означати,mean
все,all
місто,city
тільки,only
матір,mother
так,yes
там,there
по,by
історія,history
голова,head
рухатися,move
рівень,level
фінансовий,financial
холодний,cold
зуби,teeth
поганий,bad
федеральний,federal
цілий,whole
грати,play
програвати,lose
відправити,send
перший,first
вгору,up
потім,then
інші,other
ставати,become
лінія,line
книга,book
точка,point
творити,create
